x,result_minus_fin2ual_plus_offset
-1.8044995947052944,-0.006245685238296685
-1.804299594705296,-0.006349906780071229
-1.8040995947052925,-0.006454306689022995
-1.8038995947052945,-0.006558885149751347
-1.803699594705296,-0.006663642345091408
-1.8034995947052936,-0.006768578456082707
-1.803299594705294,-0.006873693661943566
-1.803099594705295,-0.006978988140059813
-1.8028995947052957,-0.007084462065957597
-1.8026995947052944,-0.007190115613282932
-1.802499594705296,-0.007295948953775857
-1.802299594705293,-0.0074019622572585285
-1.802099594705295,-0.007508155691598042
-1.8018995947052967,-0.007614529422700283
-1.8016995947052936,-0.007721083614480564
-1.801499594705294,-0.007827818428834104
-1.801299594705295,-0.00793473402562694
-1.801099594705295,-0.008041830562666299
-1.800899594705296,-0.008149108195677292
-1.800699594705296,-0.008256567078283924
-1.8004995947052933,-0.008364207361984313
-1.8002995947052944,-0.008472029196123467
-1.8000995947052971,-0.008580032727879616
-1.7998995947052936,-0.008688218102239267
-1.7996995947052945,-0.008796585461961253
-1.7994995947052943,-0.008905134947572415
-1.799299594705294,-0.009013866697331865
-1.799099594705296,-0.009122780847210629
-1.798899594705296,-0.009231877530872134
-1.7986995947052935,-0.009341156879643663
-1.7984995947052953,-0.009450619022490472
-1.7982995947052969,-0.009560264086002367
-1.798099594705294,-0.009670092194363596
-1.7978995947052945,-0.009780103469322714
-1.7976995947052945,-0.009890298030181443
-1.7974995947052936,-0.01000067599376286
-1.797299594705296,-0.010111237474386189
-1.7970995947052946,-0.01022198258385212
-1.7968995947052926,-0.010332911431405908
-1.796699594705295,-0.0104440241237185
-1.7964995947052962,-0.010555320764869074
-1.796299594705293,-0.010666801456312835
-1.796099594705295,-0.010778466296851804
-1.7958995947052945,-0.010890315382625925
-1.7956995947052932,-0.011002348807074677
-1.7954995947052956,-0.011114566660915506
-1.7952995947052948,-0.011226969032127523
-1.7950995947052926,-0.011339556005914988
-1.794899594705296,-0.011452327664684969
-1.794699594705296,-0.011565284088034321
-1.794499594705294,-0.011678425352709836
-1.794299594705295,-0.011791751532587155
-1.7940995947052931,-0.011905262698654256
-1.793899594705294,-0.012018958918973196
-1.7936995947052965,-0.012132840258665924
-1.7934995947052952,-0.0122469067798875
-1.7932995947052928,-0.012361158541794048
-1.793099594705296,-0.012475595600519761
-1.792899594705295,-0.012590218009163181
-1.7926995947052935,-0.012705025817745585
