x,result_minus_fin2ual_plus_offset
-1.8044995947052944,-0.00637625922426574
-1.804299594705296,-0.006480385024037347
-1.8040995947052925,-0.006584689216995107
-1.8038995947052945,-0.0066891719895256635
-1.803699594705296,-0.006793833526265627
-1.8034995947052936,-0.006898674010070077
-1.803299594705294,-0.007003693621987092
-1.803099594705295,-0.007108892541246581
-1.8028995947052957,-0.0072142709452328035
-1.8026995947052944,-0.007319829009464332
-1.802499594705296,-0.007425566907567974
-1.802299594705293,-0.007531484811267003
-1.802099594705295,-0.0076375828903439
-1.8018995947052967,-0.007743861312634284
-1.8016995947052936,-0.00785032024399765
-1.801499594705294,-0.007956959848287828
-1.801299594705295,-0.008063780287343697
-1.801099594705295,-0.008170781720959933
-1.800899594705296,-0.008277964306863492
-1.800699594705296,-0.008385328200694639
-1.8004995947052933,-0.008492873555982286
-1.8002995947052944,-0.008600600524116764
-1.8000995947052971,-0.008708509254335944
-1.7998995947052936,-0.008816599893700663
-1.7996995947052945,-0.008924872587058652
-1.7994995947052943,-0.009033327477040054
-1.799299594705294,-0.009141964704021815
-1.799099594705296,-0.009250784406107493
-1.798899594705296,-0.009359786719107463
-1.7986995947052935,-0.009468971776510612
-1.7984995947052953,-0.009578339709458344
-1.7982995947052969,-0.009687890646731173
-1.798099594705294,-0.009797624714718553
-1.7978995947052945,-0.009907542037388986
-1.7976995947052945,-0.010017642736278629
-1.7974995947052936,-0.010127926930459497
-1.797299594705296,-0.010238394736514458
-1.7970995947052946,-0.010349046268522247
-1.7968995947052926,-0.010459881638020904
-1.796699594705295,-0.010570900953988646
-1.7964995947052962,-0.010682104322826305
-1.796299594705293,-0.010793491848325593
-1.796099594705295,-0.01090506363163933
-1.7958995947052945,-0.011016819771272737
-1.7956995947052932,-0.011128760363045345
-1.7954995947052956,-0.011240885500068867
-1.7952995947052948,-0.011353195272731237
-1.7950995947052926,-0.01146568976866004
-1.794899594705296,-0.011578369072700129
-1.794699594705296,-0.011691233266900428
-1.794499594705294,-0.011804282430474322
-1.794299594705295,-0.011917516639778372
-1.7940995947052931,-0.012030935968295867
-1.793899594705294,-0.012144540486598396
-1.7936995947052965,-0.012258330262331876
-1.7934995947052952,-0.012372305360189503
-1.7932995947052928,-0.012486465841879874
-1.793099594705296,-0.012600811766103726
-1.792899594705295,-0.012715343188540493
-1.7926995947052935,-0.012830060161806336
-1.7924995947052953,-0.012944962735435717
-1.7922995947052942,-0.013060050955862254
-1.7920995947052936,-0.013175324866382065
-1.7918995947052965,-0.013290784507133876
-1.7916995947052945,-0.013406429915080148
-1.7914995947052936,-0.013522261123966622
-1.7912995947052957,-0.01363827816430739
-1.7910995947052948,-0.013754481063361565
-1.7908995947052937,-0.013870869845098319
-1.7906995947052955,-0.013987444530175919
-1.7904995947052933,-0.014104205135922268
-1.7902995947052935,-0.014221151676295785
-1.7900995947052958,-0.014338284161871426
-1.7898995947052945,-0.014455602599814224
-1.789699594705294,-0.01457310699384455
-1.7894995947052958,-0.01469079734422045
-1.7892995947052948,-0.01480867364771389
-1.789099594705294,-0.014926735897576315
-1.7888995947052957,-0.015044984083518453
-1.7886995947052926,-0.015163418191690023
-1.7884995947052935,-0.015282038204638762
-1.788299594705296,-0.015400844101300909
-1.788099594705294,-0.015519835856971184
-1.7878995947052942,-0.015639013443267624
-1.7876995947052947,-0.015758376828118426
-1.7874995947052947,-0.015877925975730817
-1.7872995947052943,-0.01599766084656555
-1.7870995947052957,-0.016117581397310746
