,0
0,-1.9998995488541662
1,-1.9996995488541665
2,-1.9994995488541665
3,-1.9992995488541692
4,-1.9990995488541665
5,-1.9988995488541643
6,-1.998699548854167
7,-1.9984995488541688
8,-1.9982995488541655
9,-1.9980995488541666
10,-1.9978995488541649
11,-1.9976995488541673
12,-1.9974995488541691
13,-1.997299548854167
14,-1.997099548854164
15,-1.9968995488541676
16,-1.9966995488541686
17,-1.9964995488541666
18,-1.9962995488541664
19,-1.9960995488541653
20,-1.995899548854166
21,-1.9956995488541691
22,-1.9954995488541665
23,-1.9952995488541645
24,-1.9950995488541667
25,-1.9948995488541683
26,-1.9946995488541661
27,-1.9944995488541675
28,-1.9942995488541648
29,-1.9940995488541664
30,-1.9938995488541686
31,-1.993699548854166
32,-1.9934995488541645
33,-1.9932995488541676
34,-1.9930995488541678
35,-1.9928995488541656
36,-1.992699548854167
37,-1.9924995488541648
38,-1.992299548854166
39,-1.992099548854169
40,-1.9918995488541662
41,-1.9916995488541647
42,-1.991499548854167
43,-1.9912995488541676
44,-1.9910995488541667
45,-1.9908995488541672
46,-1.9906995488541648
47,-1.990499548854167
48,-1.9902995488541693
49,-1.9900995488541655
50,-1.9898995488541642
51,-1.9896995488541662
52,-1.9894995488541674
53,-1.9892995488541678
54,-1.9890995488541667
55,-1.988899548854165
56,-1.9886995488541666
57,-1.988499548854169
58,-1.9882995488541655
59,-1.9880995488541653
60,-1.9878995488541666
61,-1.9876995488541667
62,-1.9874995488541687
63,-1.9872995488541678
64,-1.987099548854165
65,-1.9868995488541665
66,-1.9866995488541697
67,-1.9864995488541664
68,-1.9862995488541655
69,-1.9860995488541662
70,-1.9858995488541666
71,-1.985699548854169
72,-1.9854995488541671
73,-1.9852995488541647
74,-1.9850995488541665
75,-1.9848995488541692
76,-1.984699548854166
77,-1.984499548854166
78,-1.9842995488541664
79,-1.984099548854166
80,-1.9838995488541693
81,-1.9836995488541664
82,-1.983499548854165
83,-1.9832995488541671
84,-1.9830995488541687
85,-1.9828995488541659
86,-1.9826995488541665
87,-1.982499548854165
88,-1.9822995488541664
89,-1.9820995488541688
