x,y
1.072099999999132081e-04,0.000000000000000000e+00
3.072099999998911812e-04,0.000000000000000000e+00
5.072100000000911990e-04,0.000000000000000000e+00
7.072100000000691722e-04,0.000000000000000000e+00
9.072100000000471454e-04,0.000000000000000000e+00
1.107210000000025119e-03,0.000000000000000000e+00
1.307210000000003092e-03,0.000000000000000000e+00
1.507209999999981065e-03,0.000000000000000000e+00
1.707209999999514949e-03,0.000000000000000000e+00
1.907209999999492922e-03,0.000000000000000000e+00
2.107209999999692940e-03,0.000000000000000000e+00
2.307209999999892958e-03,0.000000000000000000e+00
2.507209999999648886e-03,0.000000000000000000e+00
2.707210000000070949e-03,0.000000000000000000e+00
2.907210000000048922e-03,0.000000000000000000e+00
3.107210000000026895e-03,0.000000000000000000e+00
3.307210000000004868e-03,0.000000000000000000e+00
3.507209999999982841e-03,0.000000000000000000e+00
3.707209999999960814e-03,0.000000000000000000e+00
3.907209999999938788e-03,0.000000000000000000e+00
4.107209999999916761e-03,0.000000000000000000e+00
4.307209999999894734e-03,0.000000000000000000e+00
4.507210000000094752e-03,0.000000000000000000e+00
4.707210000000072725e-03,0.000000000000000000e+00
4.907209999999606609e-03,0.000000000000000000e+00
5.107209999999140493e-03,0.000000000000000000e+00
5.307210000000006644e-03,0.000000000000000000e+00
5.507209999999984618e-03,0.000000000000000000e+00
5.707209999999518502e-03,0.000000000000000000e+00
5.907209999999940564e-03,0.000000000000000000e+00
6.107209999999918537e-03,0.000000000000000000e+00
6.307209999999896510e-03,0.000000000000000000e+00
6.507210000000096528e-03,0.000000000000000000e+00
6.707210000000296546e-03,0.000000000000000000e+00
6.907210000000052474e-03,0.000000000000000000e+00
7.107210000000030448e-03,0.000000000000000000e+00
7.307210000000008421e-03,0.000000000000000000e+00
7.507209999999986394e-03,0.000000000000000000e+00
7.707209999999520278e-03,0.000000000000000000e+00
7.907209999999498251e-03,0.000000000000000000e+00
8.107209999999698269e-03,0.000000000000000000e+00
8.307209999999676242e-03,0.000000000000000000e+00
8.507210000000098304e-03,0.000000000000000000e+00
8.707210000000076278e-03,0.000000000000000000e+00
8.907210000000054251e-03,0.000000000000000000e+00
9.107210000000032224e-03,0.000000000000000000e+00
9.307210000000010197e-03,0.000000000000000000e+00
9.507209999999988170e-03,0.000000000000000000e+00
9.707209999999966143e-03,0.000000000000000000e+00
9.907209999999944117e-03,0.000000000000000000e+00
1.010720999999992209e-02,0.000000000000000000e+00
1.030720999999990006e-02,0.000000000000000000e+00
1.050721000000010008e-02,0.000000000000000000e+00
1.070721000000007805e-02,0.000000000000000000e+00
1.090720999999961194e-02,0.000000000000000000e+00
1.110720999999958991e-02,0.000000000000000000e+00
1.130720999999956788e-02,0.000000000000000000e+00
1.150720999999998995e-02,0.000000000000000000e+00
1.170720999999996792e-02,0.000000000000000000e+00
1.190720999999994589e-02,0.000000000000000000e+00
1.210720999999992387e-02,0.000000000000000000e+00
1.230720999999990184e-02,0.000000000000000000e+00
1.250721000000010186e-02,0.000000000000000000e+00
1.270721000000007983e-02,0.000000000000000000e+00
1.290721000000005780e-02,0.000000000000000000e+00
1.310721000000003578e-02,0.000000000000000000e+00
1.330721000000001375e-02,0.000000000000000000e+00
1.350720999999999172e-02,0.000000000000000000e+00
1.370720999999996970e-02,0.000000000000000000e+00
1.390720999999950358e-02,0.000000000000000000e+00
1.410720999999970360e-02,0.000000000000000000e+00
1.430720999999968157e-02,0.000000000000000000e+00
1.450721000000010363e-02,0.000000000000000000e+00
1.470720999999963752e-02,0.000000000000000000e+00
1.490721000000005958e-02,0.000000000000000000e+00
1.510721000000003755e-02,0.000000000000000000e+00
1.530721000000001553e-02,0.000000000000000000e+00
1.550720999999999350e-02,0.000000000000000000e+00
1.570720999999997147e-02,0.000000000000000000e+00
1.590720999999994945e-02,0.000000000000000000e+00
1.610720999999992742e-02,0.000000000000000000e+00
1.630720999999990539e-02,0.000000000000000000e+00
1.650721000000010541e-02,0.000000000000000000e+00
1.670721000000008338e-02,0.000000000000000000e+00
1.690721000000006136e-02,0.000000000000000000e+00
1.710721000000003933e-02,0.000000000000000000e+00
1.730721000000001730e-02,0.000000000000000000e+00
1.750720999999999528e-02,0.000000000000000000e+00
1.770720999999997325e-02,0.000000000000000000e+00
1.790720999999950713e-02,0.000000000000000000e+00
1.810720999999992920e-02,0.000000000000000000e+00
1.830720999999990717e-02,0.000000000000000000e+00
1.850721000000010719e-02,0.000000000000000000e+00
1.870721000000008516e-02,0.000000000000000000e+00
1.890721000000050722e-02,0.000000000000000000e+00
1.910721000000004111e-02,0.000000000000000000e+00
1.930721000000001908e-02,0.000000000000000000e+00
1.950720999999999705e-02,0.000000000000000000e+00
1.970720999999997503e-02,0.000000000000000000e+00
1.990720999999950891e-02,0.000000000000000000e+00
2.010720999999970893e-02,0.000000000000000000e+00
