,0
0,-0.05685114266666666
1,-0.05557119333333332
2,-0.05759779533333329
3,-0.05802443899999999
4,-0.056424493666666645
5,-0.058984411333333306
6,-0.05802442899999997
7,-0.060157693333333324
8,-0.058877748999999986
9,-0.06069099866666665
10,-0.060904332333333325
11,-0.05909105766666666
12,-0.06047767333333328
13,-0.05909106233333334
14,-0.05962437933333331
15,-0.060051029333333346
16,-0.060157674999999994
17,-0.058451073666666624
18,-0.05962437599999998
19,-0.06015769366666664
20,-0.06239760599999997
21,-0.06410420199999994
22,-0.06442419033333327
23,-0.06250425366666666
24,-0.06293090866666666
25,-0.06367754233333327
26,-0.062290939333333316
27,-0.06357089099999998
28,-0.0637842256666666
29,-0.06261093333333329
30,-0.06538416599999998
31,-0.06207761799999999
32,-0.06175764533333328
33,-0.06506417166666666
34,-0.061330961666666656
35,-0.06506417166666666
36,-0.06207761966666664
37,-0.06666409633333328
38,-0.06623744499999998
39,-0.06293090299999998
40,-0.06357088499999995
41,-0.06314424166666664
42,-0.06346422933333332
43,-0.0638908723333333
44,-0.06485085566666662
45,-0.06719741799999998
46,-0.06527750799999997
47,-0.06410420399999997
48,-0.062397608999999944
49,-0.06559747966666661
50,-0.0654908283333333
51,-0.06399754166666667
52,-0.0659174733333333
53,-0.06474417833333332
54,-0.06677076366666665
55,-0.06453087999999996
56,-0.06506415466666665
57,-0.06730405666666661
58,-0.06527749566666663
59,-0.06623745333333331
60,-0.06677076366666662
61,-0.06666410066666666
62,-0.0667707623333333
63,-0.06346423299999995
64,-0.0661307883333333
65,-0.06773071766666665
66,-0.06869069166666664
67,-0.06581081033333328
68,-0.065384155
69,-0.067410759
70,-0.06623745366666663
71,-0.06677075799999999
72,-0.06581080566666664
73,-0.06687742833333331
74,-0.06645076566666663
75,-0.06634410699999997
76,-0.06431753466666663
77,-0.06453083633333331
78,-0.06805073633333332
79,-0.06559747399999998
80,-0.0658107993333333
81,-0.06485084199999998
82,-0.06613080266666665
83,-0.06506415433333329
84,-0.06645076833333331
85,-0.06581079799999998
86,-0.06901065933333331
87,-0.06602411699999997
88,-0.06570413766666659
89,-0.0659174693333333
90,-0.06773073233333332
91,-0.0681573723333333
92,-0.06645078733333333
93,-0.06506417266666663
94,-0.06410419366666664
95,-0.06517083833333333
96,-0.06506417733333333
97,-0.06399752966666664
98,-0.0650641716666666
99,-0.06655743866666664
100,-0.06698408533333328
101,-0.06495749533333331
102,-0.06474416666666662
