,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0.0,-0.127995,0.0,-0.0639975,-0.159994,-0.287989,-0.127995,0.0319988,-0.159994,0.0,0.0319988,0.0319988,-0.127995,0.0,-0.0639975,-0.0639975,0.287989,0.287989,0.127995,-0.0959963,-0.0319988,-0.223991,0.0319988,-0.159994,-0.127995,-0.223991,0.0319988,-0.191993,-0.25599,0.0319988
1,-0.0319988,-0.159994,0.0319988,-0.0959963,-0.159994,-0.223991,-0.127995,0.0,-0.191993,0.0639975,0.0,-0.0319988,-0.127995,-0.0319988,-0.0959963,-0.0639975,0.287989,0.287989,0.159994,-0.0319988,-0.0319988,-0.191993,0.0639975,-0.159994,-0.159994,-0.223991,0.0639975,-0.223991,-0.159994,0.0319988
2,-0.0639975,-0.159994,0.0319988,-0.0959963,-0.159994,-0.25599,-0.127995,0.0319988,-0.191993,0.0639975,-0.0319988,0.0319988,-0.159994,-0.0319988,-0.0959963,-0.0639975,0.287989,0.25599,0.159994,-0.0639975,-0.0639975,-0.191993,0.0639975,-0.127995,-0.159994,-0.25599,0.0,-0.159994,-0.25599,0.0639975
3,-0.0319988,-0.159994,0.0,-0.0319988,-0.159994,-0.287989,-0.159994,0.0319988,-0.191993,0.0319988,0.0,0.0319988,-0.159994,-0.0319988,-0.0959963,-0.0639975,0.287989,0.319988,0.159994,-0.0319988,-0.0319988,-0.223991,0.0639975,-0.127995,-0.127995,-0.223991,0.0,-0.223991,-0.25599,0.0
4,-0.0319988,-0.191993,0.0319988,-0.127995,-0.159994,-0.223991,-0.127995,0.0319988,-0.223991,0.0319988,0.0,-0.0319988,-0.127995,-0.0639975,-0.0959963,-0.0319988,0.287989,0.287989,0.159994,-0.0639975,0.0,-0.159994,0.0319988,-0.159994,-0.223991,-0.159994,0.0,-0.223991,-0.159994,-0.0319988
5,-0.0319988,-0.191993,0.0639975,-0.0639975,-0.159994,-0.287989,-0.159994,0.0319988,-0.159994,0.0959963,0.0319988,0.0639975,-0.127995,-0.0319988,-0.0639975,0.0,0.319988,0.319988,0.127995,-0.0319988,0.0,-0.191993,0.0639975,-0.159994,-0.127995,-0.223991,0.0,-0.223991,-0.191993,0.0
6,-0.0319988,-0.191993,0.0639975,-0.0959963,-0.159994,-0.287989,-0.0959963,0.0319988,-0.223991,0.0319988,0.0,0.0,-0.0959963,-0.0319988,-0.127995,-0.0639975,0.287989,0.25599,0.159994,-0.0639975,0.0,-0.191993,0.0319988,-0.191993,-0.159994,-0.25599,0.0639975,-0.191993,-0.25599,0.0
7,-0.0319988,-0.191993,0.0639975,-0.0959963,-0.127995,-0.25599,-0.0959963,0.0319988,-0.223991,0.0959963,0.0,0.0,-0.191993,-0.0639975,-0.127995,-0.0639975,0.287989,0.287989,0.159994,-0.0319988,-0.0639975,-0.25599,0.0319988,-0.159994,-0.159994,-0.191993,0.0319988,-0.223991,-0.223991,-0.0319988
8,-0.0319988,-0.223991,0.0639975,-0.0639975,-0.223991,-0.287989,-0.159994,0.0319988,-0.191993,0.0319988,-0.0319988,0.0,-0.0959963,0.0,-0.127995,0.0319988,0.25599,0.319988,0.159994,-0.0319988,-0.0319988,-0.159994,0.0639975,-0.191993,-0.159994,-0.191993,0.0,-0.191993,-0.223991,0.0319988
9,-0.0319988,-0.191993,0.0319988,-0.0639975,-0.159994,-0.287989,-0.127995,0.0319988,-0.223991,0.0639975,0.0,0.0639975,-0.127995,0.0,-0.127995,-0.0319988,0.287989,0.287989,0.127995,-0.0639975,0.0,-0.191993,0.0639975,-0.191993,-0.127995,-0.223991,0.0,-0.191993,-0.223991,0.0639975
