,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,0.0011773595,0.0011021873,0.0015056143,0.00088114512,0.00020763881,0.0015655276,0.00029859935,0.00015064058,3.0720824e-05,0.0014183533,0.0016139123,0.00062125878,0.0013423389,0.00086836313
1,0.0031773595,0.0031021873,0.0035056143,0.0028811451,0.0022076388,0.0035655276,0.0022985994,0.0021506406,0.0020307208,0.0034183533,0.0036139123,0.0026212588,0.0033423389,0.0028683631
2,0.0051773595,0.0051021873,0.0055056143,0.0048811451,0.0042076388,0.0055655276,0.0042985994,0.0041506406,0.0040307208,0.0054183533,0.0056139123,0.0046212588,0.0053423389,0.0048683631
3,0.0071773595,0.0071021873,0.0075056143,0.0068811451,0.0062076388,0.0075655276,0.0062985994,0.0061506406,0.0060307208,0.0074183533,0.0076139123,0.0066212588,0.0073423389,0.0068683631
4,0.0091773595,0.0091021873,0.0095056143,0.0088811451,0.0082076388,0.0095655276,0.0082985994,0.0081506406,0.0080307208,0.0094183533,0.0096139123,0.0086212588,0.0093423389,0.0088683631
5,0.011177359,0.011102187,0.011505614,0.010881145,0.010207639,0.011565528,0.010298599,0.010150641,0.010030721,0.011418353,0.011613912,0.010621259,0.011342339,0.010868363
6,0.013177359,0.013102187,0.013505614,0.012881145,0.012207639,0.013565528,0.012298599,0.012150641,0.012030721,0.013418353,0.013613912,0.012621259,0.013342339,0.012868363
7,0.015177359,0.015102187,0.015505614,0.014881145,0.014207639,0.015565528,0.014298599,0.014150641,0.014030721,0.015418353,0.015613912,0.014621259,0.015342339,0.014868363
8,0.017177359,0.017102187,0.017505614,0.016881145,0.016207639,0.017565528,0.016298599,0.016150641,0.016030721,0.017418353,0.017613912,0.016621259,0.017342339,0.016868363
9,0.019177359,0.019102187,0.019505614,0.018881145,0.018207639,0.019565528,0.018298599,0.018150641,0.018030721,0.019418353,0.019613912,0.018621259,0.019342339,0.018868363
10,0.021177359,0.021102187,0.021505614,0.020881145,0.020207639,0.021565528,0.020298599,0.020150641,0.020030721,0.021418353,0.021613912,0.020621259,0.021342339,0.020868363
11,0.023177359,0.023102187,0.023505614,0.022881145,0.022207639,0.023565528,0.022298599,0.022150641,0.022030721,0.023418353,0.023613912,0.022621259,0.023342339,0.022868363
12,0.025177359,0.025102187,0.025505614,0.024881145,0.024207639,0.025565528,0.024298599,0.024150641,0.024030721,0.025418353,0.025613912,0.024621259,0.025342339,0.024868363
13,0.027177359,0.027102187,0.027505614,0.026881145,0.026207639,0.027565528,0.026298599,0.026150641,0.026030721,0.027418353,0.027613912,0.026621259,0.027342339,0.026868363
14,0.029177359,0.029102187,0.029505614,0.028881145,0.028207639,0.029565528,0.028298599,0.028150641,0.028030721,0.029418353,0.029613912,0.028621259,0.029342339,0.028868363
15,0.031177359,0.031102187,0.031505614,0.030881145,0.030207639,0.031565528,0.030298599,0.030150641,0.030030721,0.031418353,0.031613912,0.030621259,0.031342339,0.030868363
16,0.033177359,0.033102187,0.033505614,0.032881145,0.032207639,0.033565528,0.032298599,0.032150641,0.032030721,0.033418353,0.033613912,0.032621259,0.033342339,0.032868363
17,0.035177359,0.035102187,0.035505614,0.034881145,0.034207639,0.035565528,0.034298599,0.034150641,0.034030721,0.035418353,0.035613912,0.034621259,0.035342339,0.034868363
18,0.037177359,0.037102187,0.037505614,0.036881145,0.036207639,0.037565528,0.036298599,0.036150641,0.036030721,0.037418353,0.037613912,0.036621259,0.037342339,0.036868363
19,0.039177359,0.039102187,0.039505614,0.038881145,0.038207639,0.039565528,0.038298599,0.038150641,0.038030721,0.039418353,0.039613912,0.038621259,0.039342339,0.038868363
20,0.041177359,0.041102187,0.041505614,0.040881145,0.040207639,0.041565528,0.040298599,0.040150641,0.040030721,0.041418353,0.041613912,0.040621259,0.041342339,0.040868363
21,0.043177359,0.043102187,0.043505614,0.042881145,0.042207639,0.043565528,0.042298599,0.042150641,0.042030721,0.043418353,0.043613912,0.042621259,0.043342339,0.042868363
22,0.045177359,0.045102187,0.045505614,0.044881145,0.044207639,0.045565528,0.044298599,0.044150641,0.044030721,0.045418353,0.045613912,0.044621259,0.045342339,0.044868363
23,0.047177359,0.047102187,0.047505614,0.046881145,0.046207639,0.047565528,0.046298599,0.046150641,0.046030721,0.047418353,0.047613912,0.046621259,0.047342339,0.046868363
24,0.049177359,0.049102187,0.049505614,0.048881145,0.048207639,0.049565528,0.048298599,0.048150641,0.048030721,0.049418353,0.049613912,0.048621259,0.049342339,0.048868363
25,0.051177359,0.051102187,0.051505614,0.050881145,0.050207639,0.051565528,0.050298599,0.050150641,0.050030721,0.051418353,0.051613912,0.050621259,0.051342339,0.050868363
26,0.053177359,0.053102187,0.053505614,0.052881145,0.052207639,0.053565528,0.052298599,0.052150641,0.052030721,0.053418353,0.053613912,0.052621259,0.053342339,0.052868363
27,0.055177359,0.055102187,0.055505614,0.054881145,0.054207639,0.055565528,0.054298599,0.054150641,0.054030721,0.055418353,0.055613912,0.054621259,0.055342339,0.054868363
28,0.057177359,0.057102187,0.057505614,0.056881145,0.056207639,0.057565528,0.056298599,0.056150641,0.056030721,0.057418353,0.057613912,0.056621259,0.057342339,0.056868363
29,0.059177359,0.059102187,0.059505614,0.058881145,0.058207639,0.059565528,0.058298599,0.058150641,0.058030721,0.059418353,0.059613912,0.058621259,0.059342339,0.058868363
30,0.061177359,0.061102187,0.061505614,0.060881145,0.060207639,0.061565528,0.060298599,0.060150641,0.060030721,0.061418353,0.061613912,0.060621259,0.061342339,0.060868363
