,0
0,-0.1834022857142857
1,-0.18797362857142855
2,-0.18225955714285713
3,-0.18797345714285713
4,-0.18225955714285713
5,-0.18568799285714285
6,-0.1776882
7,-0.1834023
8,-0.18340234285714288
9,-0.1788311285714286
10,-0.17768821428571432
11,-0.17883108571428571
12,-0.17883115714285716
13,-0.18111680000000002
14,-0.18111675714285716
15,-0.17654558571428572
16,-0.1788310142857143
17,-0.17425996428571427
18,-0.17425994285714283
19,-0.1754027285714286
20,-0.1765454214285714
21,-0.17425995
22,-0.17197418571428574
23,-0.17425995
24,-0.17197418571428572
25,-0.16626017857142858
26,-0.1719743
27,-0.16740284285714285
28,-0.16740297142857144
29,-0.1674029
30,-0.16511730714285713
31,-0.16054598571428572
32,-0.1559749142857143
33,-0.1605459
34,-0.1559749142857143
35,-0.15026080000000003
36,-0.16054608571428575
37,-0.15026077142857147
38,-0.14568952857142858
39,-0.15026077142857144
40,-0.14683231428571428
41,-0.14340371428571427
42,-0.1434038428571429
43,-0.1411181285714286
44,-0.142261
45,-0.14454655714285716
46,-0.13654697142857145
47,-0.13883248571428572
48,-0.13311854285714286
49,-0.13540418571428572
50,-0.1319758285714286
51,-0.12969018571428573
52,-0.13197561428571428
53,-0.13083299285714287
54,-0.12626172857142856
55,-0.12511887142857145
56,-0.1319758
57,-0.12626170714285714
58,-0.12054747857142857
59,-0.12511897142857145
60,-0.1239760142857143
61,-0.11483344642857142
62,-0.11711919285714287
63,-0.11254794285714288
64,-0.11254792142857142
65,-0.11369067857142856
66,-0.1068337642857143
67,-0.11483347857142857
68,-0.10683379285714287
69,-0.10226251428571428
70,-0.10454819642857142
71,-0.10226255357142856
72,-0.09997690000000001
73,-0.09197724999999998
74,-0.09654859642857141
75,-0.090834525
76,-0.09197727857142857
77,-0.09540568571428569
78,-0.09197725
79,-0.08283482857142857
80,-0.09540569642857143
81,-0.08512037142857143
82,-0.08283479285714286
83,-0.09083445000000001
84,-0.08740606428571429
85,-0.08283477142857143
86,-0.08397762142857144
87,-0.07597783571428572
88,-0.08397758571428572
89,-0.08054907142857144
90,-0.08169197142857143
91,-0.07712067142857144
92,-0.08054920357142858
93,-0.07597788571428572
94,-0.07483510714285715
95,-0.07826353214285715
96,-0.08169203571428572
97,-0.08397762142857144
98,-0.0828348
99,-0.08054911428571429
100,-0.07712071785714288
101,-0.08169196785714286
102,-0.07940632857142858
103,-0.08054910000000001
104,-0.07597784285714286
105,-0.07940637500000002
106,-0.07940638571428572
107,-0.07483506785714286
108,-0.07940636071428572
109,-0.08169198571428572
110,-0.07940631785714285
111,-0.07712064285714285
112,-0.07369221071428571
113,-0.077120675
114,-0.07712066071428571
115,-0.07369218571428572
116,-0.07597780357142858
117,-0.07254939285714286
118,-0.07483507142857145
119,-0.07254937500000001
120,-0.07026383571428571
121,-0.064549725
122,-0.06340691071428571
123,-0.06454975714285714
124,-0.06569263571428573
125,-0.06797819285714288
126,-0.07140656071428571
127,-0.05997847857142857
128,-0.06797815
129,-0.055407260714285714
130,-0.05769287500000001
131,-0.0645497392857143
132,-0.06226410357142858
133,-0.05426443928571429
134,-0.06569256428571428
135,-0.06683543214285714
136,-0.059978482142857135
137,-0.06112127500000001
138,-0.06112136428571428
139,-0.05426444285714286
140,-0.05883571428571429
141,-0.056550096428571436
142,-0.05426441071428571
143,-0.05997845357142858
144,-0.05769285714285715
145,-0.056550089285714276
146,-0.058835742857142874
147,-0.05997850714285714
148,-0.053121625
149,-0.055407275
150,-0.05540726428571428
151,-0.04626479642857143
152,-0.055407307142857146
153,-0.058835682142857136
154,-0.054264453571428575
155,-0.04740753928571428
156,-0.059978532142857144
157,-0.057692900000000005
158,-0.058835689285714296
159,-0.04969309642857143
160,-0.05655006071428571
161,-0.056550103571428575
162,-0.05312162857142856
163,-0.05426438214285715
164,-0.06112131785714286
165,-0.05655004285714286
166,-0.04855028571428571
167,-0.05883571071428572
168,-0.057692932142857145
169,-0.045121939285714285
170,-0.05540725357142857
171,-0.05655008571428572
172,-0.04740751428571428
173,-0.05312163928571429
174,-0.05540724642857142
175,-0.05083599285714285
176,-0.05083597142857142
177,-0.05540724642857143
178,-0.04855042142857142
