x,y_zeroed,y_bestfit
1.0589028896666666,-0.056196006671543716,-0.04270254709929857
1.0591028896666668,-0.05533720330878048,-0.04276912799241265
1.0593028896666663,-0.05703833994601726,-0.04283583240247445
1.059502889666667,-0.05511292058325391,-0.04290266056849786
1.0597028896666663,-0.0572406718871574,-0.04296961272970608
1.0599028896666667,-0.05766184119106086,-0.04303668912553316
1.060102889666667,-0.05253657982829761,-0.043103889995610566
1.060302889666667,-0.05637094113220098,-0.04317121557976573
1.0605028896666664,-0.05892537376943778,-0.04323866611801256
1.060702889666667,-0.05635998974000793,-0.04330624185054622
1.0609028896666663,-0.05976771904391141,-0.04337394301773493
1.0611028896666674,-0.06040220101448145,-0.043441769860114374
1.0613028896666665,-0.05698351898505155,-0.04350972261837819
1.0615028896666665,-0.05740466962228832,-0.04357780153337327
1.061702889666666,-0.058465833592858396,-0.04364600684609081
1.061902889666667,-0.05952699623009525,-0.04371433879765885
1.0621028896666669,-0.05696159620066532,-0.04378279762933295
1.0623028896666664,-0.0599426708379021,-0.04385138358249124
1.0625028896666668,-0.05652399480847216,-0.043920096898625055
1.0627028896666668,-0.056518496112375624,-0.043988937819327875
1.0629028896666668,-0.056726339416279095,-0.044057906586290926
1.0631028896666663,-0.054160994053515876,-0.04412700344129296
1.0633028896666668,-0.05628873002408594,-0.04419622862619007
1.0635028896666672,-0.05734987332798939,-0.044265582382909265
1.0637028896666672,-0.05627778463189276,-0.04433506495343648
1.063902889666666,-0.055845647269129564,-0.04440467657980978
1.0641028896666667,-0.05776007923969961,-0.044474417504108923
1.0643028896666664,-0.05924787121026979,-0.04454428796844515
1.064502889666667,-0.055829189180839844,-0.044614288214952474
1.0647028896666657,-0.055823709151409946,-0.044684418485775826
1.0649028896666668,-0.05709818778864678,-0.044754679023064084
1.0651028896666668,-0.05986592242588356,-0.044825070068955836
1.0653028896666665,-0.05836716906312033,-0.044895591865571446
1.065502889666667,-0.06070827036702369,-0.04496624465500252
1.0657028896666665,-0.06006279367092717,-0.04503702867929909
1.065902889666667,-0.059844014308163926,-0.04510794418045948
1.0661028896666669,-0.0604785129454007,-0.04517899140041994
1.0663028896666669,-0.059406364915970775,-0.04525017058104179
1.0665028896666664,-0.05705431621987425,-0.0453214819641006
1.066702889666667,-0.057475496857110994,-0.04539292579127421
1.0669028896666664,-0.05981660016101449,-0.04546450230412954
1.0671028896666674,-0.06002444213158453,-0.045536211744114125
