,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,-0.107977,-0.155975,-0.107977,-0.299969,-0.171974,-0.251971,-0.171974,-0.235972,-0.219972,-0.171974,-0.155975,-0.187974,-0.0919773,-0.203973,-0.187974,-0.203973,-0.315969,-0.187974,-0.203973,-0.139975,-0.187974,-0.235972,-0.107977,-0.235972,-0.219972,-0.107977,-0.235972,-0.123976,-0.155975,-0.0919773,-0.187974,-0.187974,-0.155975,-0.203973,-0.235972,-0.187974,-0.235972,-0.235972,-0.235972,-0.219972,-0.203973,-0.139975,-0.171974,-0.235972,-0.155975,-0.187974,-0.187974,-0.107977,-0.171974,-0.203973,-0.331968,-0.187974,-0.139975,-0.123976,-0.171974,-0.123976,-0.28397,-0.235972,-0.235972,-0.28397,-0.235972,-0.187974,-0.235972,-0.28397,-0.139975,-0.0759779,-0.139975,-0.187974,-0.171974,-0.251971,-0.155975,-0.235972,-0.443964,-0.299969,-0.203973,-0.171974,-0.139975,-0.235972,-0.0759779,-0.171974,-0.203973,-0.251971,-0.299969,-0.171974,-0.251971,-0.187974,-0.219972,-0.28397,-0.203973,-0.187974,-0.267971,-0.123976,-0.139975,-0.171974,-0.187974,-0.0919773,-0.107977,-0.123976,-0.203973,-0.28397,-0.235972
1,-0.0919773,-0.139975,-0.107977,-0.299969,-0.203973,-0.251971,-0.155975,-0.219972,-0.219972,-0.171974,-0.139975,-0.203973,-0.123976,-0.203973,-0.187974,-0.203973,-0.299969,-0.203973,-0.203973,-0.123976,-0.171974,-0.219972,-0.107977,-0.203973,-0.251971,-0.0759779,-0.235972,-0.139975,-0.171974,-0.107977,-0.155975,-0.171974,-0.155975,-0.187974,-0.219972,-0.203973,-0.251971,-0.219972,-0.235972,-0.219972,-0.219972,-0.139975,-0.171974,-0.219972,-0.155975,-0.219972,-0.203973,-0.107977,-0.171974,-0.187974,-0.331968,-0.187974,-0.139975,-0.139975,-0.187974,-0.139975,-0.251971,-0.203973,-0.219972,-0.267971,-0.251971,-0.187974,-0.235972,-0.267971,-0.139975,-0.0759779,-0.139975,-0.235972,-0.171974,-0.235972,-0.171974,-0.219972,-0.427964,-0.315969,-0.187974,-0.171974,-0.139975,-0.219972,-0.0919773,-0.171974,-0.219972,-0.251971,-0.299969,-0.171974,-0.251971,-0.187974,-0.203973,-0.28397,-0.203973,-0.203973,-0.28397,-0.123976,-0.139975,-0.203973,-0.187974,-0.0919773,-0.107977,-0.123976,-0.187974,-0.267971,-0.235972
2,-0.107977,-0.139975,-0.139975,-0.299969,-0.171974,-0.251971,-0.171974,-0.251971,-0.219972,-0.187974,-0.139975,-0.187974,-0.0919773,-0.203973,-0.187974,-0.219972,-0.28397,-0.171974,-0.155975,-0.123976,-0.187974,-0.219972,-0.107977,-0.251971,-0.251971,-0.107977,-0.235972,-0.139975,-0.155975,-0.107977,-0.139975,-0.187974,-0.155975,-0.171974,-0.203973,-0.171974,-0.251971,-0.235972,-0.235972,-0.235972,-0.219972,-0.139975,-0.203973,-0.219972,-0.139975,-0.219972,-0.203973,-0.0919773,-0.171974,-0.187974,-0.363967,-0.203973,-0.139975,-0.123976,-0.171974,-0.123976,-0.28397,-0.203973,-0.219972,-0.299969,-0.219972,-0.203973,-0.251971,-0.28397,-0.139975,-0.0439791,-0.107977,-0.203973,-0.187974,-0.235972,-0.171974,-0.203973,-0.427964,-0.299969,-0.203973,-0.155975,-0.123976,-0.235972,-0.107977,-0.187974,-0.203973,-0.28397,-0.299969,-0.171974,-0.267971,-0.187974,-0.219972,-0.28397,-0.203973,-0.203973,-0.267971,-0.139975,-0.139975,-0.187974,-0.203973,-0.123976,-0.123976,-0.123976,-0.187974,-0.299969,-0.203973
3,-0.107977,-0.155975,-0.123976,-0.331968,-0.155975,-0.267971,-0.155975,-0.235972,-0.235972,-0.155975,-0.139975,-0.203973,-0.0919773,-0.219972,-0.187974,-0.203973,-0.299969,-0.203973,-0.203973,-0.107977,-0.171974,-0.219972,-0.0919773,-0.235972,-0.235972,-0.0919773,-0.219972,-0.139975,-0.139975,-0.107977,-0.171974,-0.187974,-0.155975,-0.171974,-0.219972,-0.187974,-0.251971,-0.235972,-0.219972,-0.235972,-0.235972,-0.139975,-0.171974,-0.235972,-0.155975,-0.203973,-0.187974,-0.107977,-0.155975,-0.203973,-0.315969,-0.187974,-0.139975,-0.139975,-0.155975,-0.155975,-0.28397,-0.203973,-0.203973,-0.28397,-0.219972,-0.187974,-0.251971,-0.28397,-0.139975,-0.0439791,-0.123976,-0.187974,-0.171974,-0.251971,-0.171974,-0.219972,-0.443964,-0.315969,-0.219972,-0.155975,-0.139975,-0.267971,-0.107977,-0.203973,-0.219972,-0.251971,-0.299969,-0.187974,-0.28397,-0.187974,-0.203973,-0.299969,-0.187974,-0.187974,-0.251971,-0.155975,-0.139975,-0.203973,-0.203973,-0.123976,-0.107977,-0.139975,-0.187974,-0.28397,-0.251971
4,-0.123976,-0.139975,-0.123976,-0.315969,-0.187974,-0.251971,-0.155975,-0.219972,-0.219972,-0.203973,-0.139975,-0.187974,-0.0919773,-0.219972,-0.171974,-0.203973,-0.299969,-0.187974,-0.203973,-0.139975,-0.171974,-0.235972,-0.139975,-0.235972,-0.235972,-0.0919773,-0.235972,-0.139975,-0.155975,-0.0919773,-0.139975,-0.203973,-0.139975,-0.187974,-0.203973,-0.203973,-0.251971,-0.219972,-0.235972,-0.219972,-0.219972,-0.139975,-0.187974,-0.219972,-0.155975,-0.219972,-0.203973,-0.0919773,-0.155975,-0.219972,-0.315969,-0.187974,-0.155975,-0.123976,-0.187974,-0.139975,-0.267971,-0.203973,-0.219972,-0.28397,-0.251971,-0.171974,-0.235972,-0.267971,-0.155975,-0.0599785,-0.123976,-0.203973,-0.171974,-0.251971,-0.139975,-0.219972,-0.443964,-0.28397,-0.203973,-0.155975,-0.123976,-0.235972,-0.107977,-0.187974,-0.219972,-0.267971,-0.299969,-0.203973,-0.28397,-0.187974,-0.203973,-0.299969,-0.203973,-0.187974,-0.267971,-0.155975,-0.139975,-0.219972,-0.187974,-0.123976,-0.139975,-0.123976,-0.155975,-0.28397,-0.267971
5,-0.123976,-0.155975,-0.123976,-0.331968,-0.155975,-0.267971,-0.155975,-0.219972,-0.203973,-0.171974,-0.123976,-0.187974,-0.0919773,-0.219972,-0.187974,-0.219972,-0.299969,-0.203973,-0.203973,-0.123976,-0.171974,-0.251971,-0.107977,-0.219972,-0.235972,-0.107977,-0.235972,-0.123976,-0.155975,-0.107977,-0.155975,-0.219972,-0.171974,-0.203973,-0.219972,-0.203973,-0.251971,-0.235972,-0.219972,-0.219972,-0.203973,-0.139975,-0.203973,-0.235972,-0.139975,-0.219972,-0.203973,-0.123976,-0.155975,-0.203973,-0.347967,-0.187974,-0.123976,-0.123976,-0.171974,-0.139975,-0.28397,-0.203973,-0.219972,-0.28397,-0.235972,-0.203973,-0.251971,-0.267971,-0.155975,-0.0439791,-0.123976,-0.203973,-0.155975,-0.267971,-0.155975,-0.219972,-0.443964,-0.299969,-0.171974,-0.155975,-0.123976,-0.235972,-0.107977,-0.187974,-0.219972,-0.251971,-0.299969,-0.187974,-0.267971,-0.171974,-0.203973,-0.299969,-0.203973,-0.187974,-0.251971,-0.155975,-0.139975,-0.219972,-0.203973,-0.139975,-0.107977,-0.123976,-0.171974,-0.28397,-0.235972
6,-0.139975,-0.123976,-0.123976,-0.315969,-0.155975,-0.267971,-0.187974,-0.251971,-0.235972,-0.203973,-0.123976,-0.203973,-0.0759779,-0.235972,-0.187974,-0.219972,-0.267971,-0.203973,-0.219972,-0.139975,-0.155975,-0.251971,-0.123976,-0.235972,-0.235972,-0.0919773,-0.251971,-0.139975,-0.139975,-0.0919773,-0.139975,-0.203973,-0.171974,-0.187974,-0.235972,-0.203973,-0.235972,-0.219972,-0.219972,-0.219972,-0.219972,-0.139975,-0.187974,-0.235972,-0.139975,-0.203973,-0.203973,-0.107977,-0.155975,-0.219972,-0.331968,-0.187974,-0.139975,-0.123976,-0.155975,-0.155975,-0.299969,-0.187974,-0.251971,-0.299969,-0.235972,-0.203973,-0.219972,-0.267971,-0.155975,-0.0439791,-0.139975,-0.203973,-0.155975,-0.267971,-0.139975,-0.235972,-0.427964,-0.299969,-0.203973,-0.155975,-0.139975,-0.219972,-0.139975,-0.219972,-0.219972,-0.251971,-0.299969,-0.203973,-0.28397,-0.155975,-0.203973,-0.28397,-0.203973,-0.171974,-0.251971,-0.187974,-0.139975,-0.203973,-0.171974,-0.107977,-0.123976,-0.123976,-0.187974,-0.28397,-0.251971
7,-0.107977,-0.123976,-0.139975,-0.331968,-0.171974,-0.267971,-0.139975,-0.219972,-0.219972,-0.187974,-0.139975,-0.203973,-0.0919773,-0.235972,-0.155975,-0.219972,-0.267971,-0.187974,-0.187974,-0.123976,-0.171974,-0.251971,-0.123976,-0.219972,-0.235972,-0.107977,-0.235972,-0.139975,-0.171974,-0.107977,-0.155975,-0.187974,-0.155975,-0.187974,-0.203973,-0.187974,-0.251971,-0.219972,-0.219972,-0.203973,-0.203973,-0.139975,-0.203973,-0.235972,-0.139975,-0.187974,-0.171974,-0.107977,-0.171974,-0.203973,-0.315969,-0.203973,-0.139975,-0.123976,-0.155975,-0.139975,-0.267971,-0.203973,-0.219972,-0.28397,-0.235972,-0.219972,-0.251971,-0.267971,-0.155975,-0.0279797,-0.139975,-0.203973,-0.171974,-0.251971,-0.139975,-0.219972,-0.443964,-0.28397,-0.203973,-0.171974,-0.155975,-0.235972,-0.123976,-0.203973,-0.235972,-0.267971,-0.315969,-0.187974,-0.28397,-0.155975,-0.187974,-0.28397,-0.203973,-0.171974,-0.267971,-0.187974,-0.139975,-0.219972,-0.203973,-0.123976,-0.123976,-0.139975,-0.187974,-0.28397,-0.251971
8,-0.123976,-0.123976,-0.139975,-0.347967,-0.155975,-0.28397,-0.171974,-0.251971,-0.219972,-0.187974,-0.139975,-0.187974,-0.0599785,-0.219972,-0.203973,-0.203973,-0.28397,-0.171974,-0.203973,-0.139975,-0.171974,-0.251971,-0.107977,-0.235972,-0.235972,-0.0919773,-0.235972,-0.139975,-0.171974,-0.107977,-0.123976,-0.203973,-0.155975,-0.187974,-0.219972,-0.187974,-0.235972,-0.235972,-0.219972,-0.219972,-0.203973,-0.139975,-0.203973,-0.251971,-0.139975,-0.187974,-0.203973,-0.0919773,-0.171974,-0.187974,-0.331968,-0.187974,-0.155975,-0.123976,-0.155975,-0.155975,-0.267971,-0.219972,-0.235972,-0.28397,-0.219972,-0.187974,-0.235972,-0.267971,-0.155975,-0.0759779,-0.107977,-0.203973,-0.155975,-0.251971,-0.139975,-0.219972,-0.427964,-0.315969,-0.203973,-0.155975,-0.139975,-0.235972,-0.123976,-0.203973,-0.235972,-0.251971,-0.299969,-0.187974,-0.267971,-0.171974,-0.219972,-0.28397,-0.219972,-0.171974,-0.28397,-0.187974,-0.139975,-0.219972,-0.203973,-0.139975,-0.107977,-0.107977,-0.203973,-0.267971,-0.235972
9,-0.107977,-0.139975,-0.139975,-0.315969,-0.187974,-0.267971,-0.171974,-0.251971,-0.219972,-0.187974,-0.107977,-0.203973,-0.0919773,-0.235972,-0.187974,-0.203973,-0.267971,-0.171974,-0.203973,-0.139975,-0.155975,-0.235972,-0.107977,-0.251971,-0.235972,-0.0919773,-0.235972,-0.139975,-0.139975,-0.0919773,-0.139975,-0.171974,-0.139975,-0.171974,-0.235972,-0.203973,-0.251971,-0.235972,-0.219972,-0.235972,-0.219972,-0.139975,-0.203973,-0.235972,-0.155975,-0.187974,-0.171974,-0.0919773,-0.171974,-0.187974,-0.315969,-0.187974,-0.139975,-0.139975,-0.139975,-0.139975,-0.28397,-0.203973,-0.203973,-0.331968,-0.235972,-0.171974,-0.235972,-0.251971,-0.155975,-0.0919773,-0.107977,-0.219972,-0.171974,-0.251971,-0.139975,-0.219972,-0.475963,-0.28397,-0.219972,-0.139975,-0.155975,-0.251971,-0.123976,-0.187974,-0.235972,-0.267971,-0.315969,-0.187974,-0.267971,-0.171974,-0.203973,-0.299969,-0.219972,-0.187974,-0.28397,-0.171974,-0.155975,-0.219972,-0.203973,-0.139975,-0.123976,-0.139975,-0.171974,-0.299969,-0.203973
