x,y
9.896333333392348663e-05,0.000000000000000000e+00
2.989633333330132814e-04,0.000000000000000000e+00
4.989633333341014776e-04,0.000000000000000000e+00
6.989633333329692277e-04,0.000000000000000000e+00
8.989633333340574239e-04,0.000000000000000000e+00
1.098963333333591308e-03,0.000000000000000000e+00
1.298963333333569281e-03,0.000000000000000000e+00
1.498963333331992942e-03,0.000000000000000000e+00
1.698963333333303183e-03,0.000000000000000000e+00
1.898963333333503201e-03,0.000000000000000000e+00
2.098963333331926862e-03,0.000000000000000000e+00
2.298963333334791415e-03,0.000000000000000000e+00
2.498963333332993031e-03,0.000000000000000000e+00
2.698963333334747361e-03,0.000000000000000000e+00
2.898963333332504888e-03,0.000000000000000000e+00
3.098963333333148995e-03,0.000000000000000000e+00
3.298963333332016745e-03,0.000000000000000000e+00
3.498963333332438808e-03,0.000000000000000000e+00
3.698963333334415182e-03,0.000000000000000000e+00
3.898963333333060888e-03,0.000000000000000000e+00
4.098963333334815218e-03,0.000000000000000000e+00
4.298963333331684566e-03,0.000000000000000000e+00
4.498963333335215253e-03,0.000000000000000000e+00
4.698963333333194825e-03,0.000000000000000000e+00
4.898963333332950754e-03,0.000000000000000000e+00
5.098963333333594861e-03,0.000000000000000000e+00
5.298963333332462611e-03,0.000000000000000000e+00
5.498963333333106718e-03,0.000000000000000000e+00
5.698963333333528780e-03,0.000000000000000000e+00
5.898963333335283110e-03,0.000000000000000000e+00
6.098963333332374503e-03,0.000000000000000000e+00
6.298963333334350878e-03,0.000000000000000000e+00
6.498963333332108405e-03,0.000000000000000000e+00
6.698963333332974557e-03,0.000000000000000000e+00
6.898963333334506842e-03,0.000000000000000000e+00
7.098963333332930503e-03,0.000000000000000000e+00
7.298963333333574610e-03,0.000000000000000000e+00
7.498963333332886450e-03,0.000000000000000000e+00
7.698963333333530557e-03,0.000000000000000000e+00
7.898963333332842396e-03,0.000000000000000000e+00
8.098963333333708547e-03,0.000000000000000000e+00
8.298963333333020387e-03,0.000000000000000000e+00
8.498963333332776315e-03,0.000000000000000000e+00
8.698963333333642467e-03,0.000000000000000000e+00
8.898963333332510217e-03,0.000000000000000000e+00
9.098963333334708636e-03,0.000000000000000000e+00
9.298963333332466163e-03,0.000000000000000000e+00
9.498963333334442538e-03,0.000000000000000000e+00
9.698963333333532333e-03,0.000000000000000000e+00
9.898963333333288261e-03,0.000000000000000000e+00
1.009896333333326623e-02,0.000000000000000000e+00
1.029896333333368830e-02,0.000000000000000000e+00
1.049896333333411036e-02,0.000000000000000000e+00
1.069896333333275606e-02,0.000000000000000000e+00
1.089896333333451039e-02,0.000000000000000000e+00
1.109896333333204588e-02,0.000000000000000000e+00
1.129896333333491043e-02,0.000000000000000000e+00
1.149896333333355614e-02,0.000000000000000000e+00
1.169896333333309002e-02,0.000000000000000000e+00
1.189896333333240186e-02,0.000000000000000000e+00
1.209896333333349006e-02,0.000000000000000000e+00
1.229896333333435621e-02,0.000000000000000000e+00
1.249896333333300191e-02,0.000000000000000000e+00
1.269896333333431215e-02,0.000000000000000000e+00
1.289896333333206968e-02,0.000000000000000000e+00
1.309896333333493423e-02,0.000000000000000000e+00
1.329896333333291381e-02,0.000000000000000000e+00
1.349896333333200360e-02,0.000000000000000000e+00
1.369896333333353589e-02,0.000000000000000000e+00
1.389896333333284772e-02,0.000000000000000000e+00
1.409896333333304774e-02,0.000000000000000000e+00
1.429896333333280367e-02,0.000000000000000000e+00
1.449896333333433596e-02,0.000000000000000000e+00
1.469896333333231553e-02,0.000000000000000000e+00
